ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/07/2025;COBERTURA;IMPORTE AFILIADO
37388;enzimas digestivas;CREON 25000;cáps.x 100;Abbott EPD;$ 156623.09;50%;$ 78311.55
24710;enzimas digestivas;CREON 10000;cáps.x 100;Abbott EPD;$ 94424.6;50%;$ 47212.3
24709;enzimas digestivas;CREON 10000;cáps.x 50;Abbott EPD;$ 52210.78;50%;$ 26105.39
37387;enzimas digestivas;CREON 25000;cáps.x 50;Abbott EPD;$ 86914.93;50%;$ 43457.47
45275;fenofibrato;CONTROLIP;160 mg cáps.x 30;Abbott EPD;$ 35630.14;60%;$ 14252.06
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 37132.02;50%;$ 18566.01
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489.56;50%;$ 244.78
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 25655.05;50%;$ 12827.53
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 49645.84;50%;$ 24822.92
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 13364.92;60%;$ 5345.97
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 29022.2;60%;$ 11608.88
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 25085.01;60%;$ 10034
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 54215.97;60%;$ 21686.39
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 18772.71;80%;$ 3754.54
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 100;Abbott EPD;$ 54478.13;80%;$ 10895.63
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 50;Abbott EPD;$ 28448.33;80%;$ 5689.67
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 38016.1;80%;$ 7603.22
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 31587.73;80%;$ 6317.55
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 67048.03;80%;$ 13409.61
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 55705.65;80%;$ 11141.13
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8485.24;80%;$ 1697.05
19;valproico,ác.;DEPAKENE;cáps.x 50;Abbott EPD;$ 18255.78;80%;$ 3651.16
21;valproico,ác.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 10124.48;80%;$ 2024.9
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 18136.24;60%;$ 7254.5
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 41853.57;60%;$ 16741.43
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 12270.89;60%;$ 4908.36
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;$ 35134.41;50%;$ 17567.21
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;$ 31106.47;50%;$ 15553.24
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;$ 34406;50%;$ 17203
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;$ 35594.64;50%;$ 17797.32
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;$ 28244.64;60%;$ 11297.86
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;$ 24221.94;60%;$ 9688.78
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;$ 30973.91;50%;$ 15486.96
56822;carboximetilcelulosa sód.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 20978.76;50%;$ 10489.38
51569;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5084.83;50%;$ 2542.42
51599;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5223.66;50%;$ 2611.83
37918;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 14294.25;50%;$ 7147.13
23975;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 20422.59;50%;$ 10211.3
32902;carboximetilcelulosa sódica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 19493.13;50%;$ 9746.57
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 42305.42;60%;$ 16922.17
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 18635.21;50%;$ 9317.61
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 12381.03;50%;$ 6190.52
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2199.19;50%;$ 1099.6
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 26946.38;80%;$ 5389.28
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 33076.39;80%;$ 6615.28
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 41258.96;50%;$ 20629.48
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 16580.72;50%;$ 8290.36
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 21787.5;50%;$ 10893.75
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 14140.35;50%;$ 7070.18
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 16965.71;50%;$ 8482.86
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1118.2;50%;$ 559.1
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537.19;60%;$ 214.88
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1674.46;60%;$ 669.78
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2359.35;80%;$ 471.87
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 28342.35;80%;$ 5668.47
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468.44;60%;$ 187.38
11964;aceite de salmón;REGULIP;1 g cáps.x 60;Adium;$ 53392.14;40%;$ 32035.28
34244;aceite de salmón;REGULIP;1 g cáps.x 90;Adium;$ 77733.39;40%;$ 46640.03
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 24071.02;50%;$ 12035.51
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 35309.94;50%;$ 17654.97
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 43013.78;50%;$ 21506.89
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 21817.37;50%;$ 10908.69
22369;atorvastatín;LIPIFEN;10 mg comp.x 30;Adium;$ 31155.12;80%;$ 6231.02
22370;atorvastatín;LIPIFEN;20 mg comp.x 30;Adium;$ 51633.54;80%;$ 10326.71
50267;atorvastatín;LIPIFEN;40 mg comp.x 30;Adium;$ 60344.29;80%;$ 12068.86
40014;atorvastatín+ezetimibe;COLMIBE;10/10 mg comp.x 30;Adium;$ 34605.81;50%;$ 17302.91
40015;atorvastatín+ezetimibe;COLMIBE;20/10 mg comp.x 30;Adium;$ 48573.54;50%;$ 24286.77
50193;atorvastatín+ezetimibe;COLMIBE;40/10 mg comp.x 30;Adium;$ 60246.12;50%;$ 30123.06
61001;buprenorfina;BUPRIVA;10 mg parche x 1;Adium;$ 37724.08;50%;$ 18862.04
61002;buprenorfina;BUPRIVA;20 mg parche x 1;Adium;$ 45780.78;50%;$ 22890.39
61000;buprenorfina;BUPRIVA;5 mg parche x 1;Adium;$ 29117;50%;$ 14558.5
23483;bupropión;ODRANAL;150mg comp.lib.prol.x 30;Adium;$ 62631.21;40%;$ 37578.73
26876;bupropión;ODRANAL;150mg comp.lib.prol.x 60;Adium;$ 113154.08;40%;$ 67892.45
51689;ciclobenzaprina;MITRUL;15 mg cáps.x 10;Adium;$ 23844.88;50%;$ 11922.44
24913;clindamicina;TORGYN;100 mg ov.vag.x 7;Adium;$ 14459.26;60%;$ 5783.7
30481;clindamicina;TORGYN;100 mg óv.vag.x 3;Adium;$ 10626.9;60%;$ 4250.76
35664;clindamicina+ketoconazol;TORGYN DUO;cáps.blandas vag.x 7;Adium;$ 18576.63;50%;$ 9288.32
33881;clopidogrel;NABRATIN;75 mg comp.rec.x 30;Adium;$ 56725.51;50%;$ 28362.76
46775;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 30;Adium;$ 25135.71;50%;$ 12567.86
46776;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 60;Adium;$ 38437.88;50%;$ 19218.94
46779;condroitín,sulfato+glucosamina;ASOTREX;sob.x 30;Adium;$ 48873.09;50%;$ 24436.55
60620;dapagliflozina;FANTER;10 mg comp. x 30;Adium;$ 62811.9;100%;$ 0
47882;desvenlafaxina;FAPRIS;100mg comp.rec.lib.prx30;Adium;$ 50966.31;50%;$ 25483.16
47881;desvenlafaxina;FAPRIS;50mg comp.rec.lib.pr.x30;Adium;$ 27772.36;50%;$ 13886.18
50100;dexlansoprazol;APATRIX 60;cáps. x 30;Adium;$ 48759.48;40%;$ 29255.69
50098;dexlansoprazol;APATRIX 30;cáps. x 30;Adium;$ 34105.03;40%;$ 20463.02
22035;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 15;Adium;$ 19427.35;40%;$ 11656.41
22036;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 30;Adium;$ 41110.44;40%;$ 24666.26
51772;diosmina+hesperidina micronizada;VEDIPAL;1000 mg comp.x 30;Adium;$ 55959.76;40%;$ 33575.86
49121;diosmina+hesperidina micronizada;VEDIPAL;500 mg comp.x 30;Adium;$ 30728.8;40%;$ 18437.28
49122;diosmina+hesperidina micronizada;VEDIPAL;500 mg comp.x 60;Adium;$ 56011.78;40%;$ 33607.07
52261;dutasteride+tamsulosina;REDUPROST DUO;cáps.duras x 30;Adium;$ 55128.6;50%;$ 27564.3
53870;etoricoxib;XUMER;120 mg comp.rec.x 7;Adium;$ 14892.79;50%;$ 7446.4
53866;etoricoxib;XUMER;60 mg comp.rec.x 14;Adium;$ 15181.97;50%;$ 7590.99
53867;etoricoxib;XUMER;60 mg comp.rec.x 28;Adium;$ 30757.99;50%;$ 15379
53868;etoricoxib;XUMER;90 mg comp.rec.x 14;Adium;$ 25182.3;50%;$ 12591.15
53869;etoricoxib;XUMER;90 mg comp.rec.x 28;Adium;$ 38102.54;50%;$ 19051.27
37344;ezetimibe+simvastatin;REDUSTEROL DUO;10/10 mg comp.x 30;Adium;$ 21531.24;50%;$ 10765.62
37345;ezetimibe+simvastatin;REDUSTEROL DUO;10/20 mg comp.x 30;Adium;$ 21531.24;50%;$ 10765.62
37346;ezetimibe+simvastatin;REDUSTEROL DUO;10/40 mg comp.x 30;Adium;$ 34569.92;50%;$ 17284.96
10665;fluconazol;MUTUM;100 mg comp.x 15;Adium;$ 80470.28;50%;$ 40235.14
16364;fluconazol;MUTUM;150 mg comp.x 1;Adium;$ 7374.88;50%;$ 3687.44
16365;fluconazol;MUTUM;150 mg comp.x 2;Adium;$ 14429.78;50%;$ 7214.89
23526;fluconazol;MUTUM;150 mg comp.x 4;Adium;$ 25446.92;50%;$ 12723.46
43799;fluconazol;MUTUM;150 mg comp.x 8;Adium;$ 44272.43;50%;$ 22136.22
11746;fluconazol;MUTUM;200 mg comp.x 10;Adium;$ 90706.14;50%;$ 45353.07
11963;fluconazol;MUTUM;200 mg comp.x 30;Adium;$ 231398.88;50%;$ 115699.44
32631;gabapentin;ULTRANEURAL;100 mg comp.x 30;Adium;$ 15584.15;60%;$ 6233.66
32630;gabapentin;ULTRANEURAL;300 mg comp.x 30;Adium;$ 28255.1;60%;$ 11302.04
34457;gabapentin;ULTRANEURAL;300 mg comp.x 60;Adium;$ 50478.17;60%;$ 20191.27
32633;gabapentin;ULTRANEURAL;600 mg comp.x 30;Adium;$ 35583.02;60%;$ 14233.21
11671;glibenclamida;GARDOTON;comp.x 30;Adium;$ 4083.47;100%;$ 0
11672;glibenclamida;GARDOTON;comp.x 60;Adium;$ 8099.62;100%;$ 0
56914;glucosamina;ASOTREX GL;sob.x 15;Adium;$ 14263.03;50%;$ 7131.52
56916;glucosamina;ASOTREX GL;sob.x 30;Adium;$ 28525.09;50%;$ 14262.55
38252;ibandrónico,ác.;IDENA;150 mg comp.rec.x 1;Adium;$ 34141.81;50%;$ 17070.91
40004;ibandrónico,ác.;IDENA;150 mg comp.rec.x 2;Adium;$ 54724.26;50%;$ 27362.13
59724;insaponificables;CLEDIUM;cáps. x 30;Adium;$ 34840.9;40%;$ 20904.54
8268;isoxsuprina;DUVADILAN;10 mg comp.x 20;Adium;$ 19649.89;50%;$ 9824.95
46447;lacosamida;LACOTEM;100 mg comp.rec.x 30;Adium;$ 86337.77;50%;$ 43168.89
47376;lacosamida;LACOTEM;150 mg comp.rec.x 30;Adium;$ 116728.61;50%;$ 58364.31
47377;lacosamida;LACOTEM;200 mg comp.rec.x 30;Adium;$ 155637.68;50%;$ 77818.84
46446;lacosamida;LACOTEM;50 mg comp.rec.x 30;Adium;$ 40694.63;50%;$ 20347.32
48499;levetiracetam;LEVAXON;1000 mg comp.x 30;Adium;$ 130978.46;50%;$ 65489.23
48497;levetiracetam;LEVAXON;500 mg comp.x 20;Adium;$ 44291.64;50%;$ 22145.82
48498;levetiracetam;LEVAXON;500 mg comp.x 60;Adium;$ 125352.9;50%;$ 62676.45
42077;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 14;Adium;$ 23696.64;60%;$ 9478.66
33882;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 7;Adium;$ 14881.55;60%;$ 5952.62
38087;levofloxacina;UNIFLOX 750;750 mg comp.rec.x 5;Adium;$ 17077.33;60%;$ 6830.93
8317;levonorgestrel+etinilestradiol;TRIQUILAR;blist.grag.x 21;Adium;$ 7220.91;50%;$ 3610.46
8288;levonorgestrel+etinilestradiol;MICROGYNON;blist.grag.x 21;Adium;$ 6665.44;50%;$ 3332.72
13698;levonorgestrel+etinilestradiol;MICROVLAR;grag.x 21;Adium;$ 4693.88;50%;$ 2346.94
18517;meloxicam;FLEXIDOL;15 mg comp.ran.x 10;Adium;$ 10778.7;50%;$ 5389.35
20354;meloxicam;FLEXIDOL;15 mg comp.ran.x 20;Adium;$ 21076.5;50%;$ 10538.25
18518;meloxicam;FLEXIDOL;15 mg comp.ran.x 30;Adium;$ 30770.17;50%;$ 15385.09
53871;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 10;Adium;$ 10141.82;50%;$ 5070.91
53872;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 20;Adium;$ 20283.94;50%;$ 10141.97
38085;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 10;Adium;$ 11345.55;50%;$ 5672.78
38086;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 20;Adium;$ 22254.86;50%;$ 11127.43
29028;mirtazapina;COMENTER;30 mg comp.x 30;Adium;$ 34772.69;50%;$ 17386.35
45009;nebivolol;NABILA;10 mg comp.x 28;Adium;$ 33225.47;50%;$ 16612.74
45008;nebivolol;NABILA;2.5 mg comp.x 28;Adium;$ 7495.75;50%;$ 3747.88
42275;nebivolol;NABILA;5 mg comp.x 28;Adium;$ 17112.45;50%;$ 8556.23
59378;nebivolol+hidroclorotiazida;NABILA D;5/12.5 mg comp.rec.x 28;Adium;$ 18459.61;50%;$ 9229.81
17442;nimodipina;NIVAS;30 mg comp.rec.x 30;Adium;$ 10281.71;50%;$ 5140.86
17443;nimodipina;NIVAS;30 mg comp.rec.x 60;Adium;$ 17100.35;50%;$ 8550.18
12529;nimodipina;NIVAS FORTE;60 mg comp.rec.x 30;Adium;$ 16776.75;50%;$ 8388.38
12530;nimodipina;NIVAS FORTE;60 mg comp.rec.x 60;Adium;$ 28058.02;50%;$ 14029.01
21021;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 30;Adium;$ 21709.03;50%;$ 10854.52
21022;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 60;Adium;$ 38605.4;50%;$ 19302.7
51317;noretisterona;PRIMOLUT NOR;10 mg blíst.comp.x 20;Adium;$ 24005.03;50%;$ 12002.52
8305;noretisterona+etinilestradiol;PRIMOSISTON;comp.x 30;Adium;$ 9452.42;50%;$ 4726.21
11665;oxibutinina;DELAK;comp.x 20;Adium;$ 10574.41;50%;$ 5287.21
23094;oxibutinina;DELAK;comp.x 30;Adium;$ 14781.73;50%;$ 7390.87
23095;oxibutinina;DELAK;comp.x 60;Adium;$ 28407.23;50%;$ 14203.62
9360;pancreatina+dimetilpolisiloxano;PANKREOFLAT AD;comp.rec.x 50;Adium;$ 17600.1;50%;$ 8800.05
23256;pantoprazol;PANTOP;IV iny.x 1;Adium;$ 794.82;40%;$ 476.89
31760;paracetamol;PARACETAMOL RAFFO 1 G;comp.ran.x 10;Adium;$ 5940.11;40%;$ 3564.07
49154;pregabalina;PREBICTAL;100 mg cáps.x 28;Adium;$ 52458.77;50%;$ 26229.39
44478;pregabalina;PREBICTAL;150 mg cáps.x 28;Adium;$ 55879.52;50%;$ 27939.76
51662;pregabalina;PREBICTAL;25 mg cáps.x 28;Adium;$ 12490.95;50%;$ 6245.48
49153;pregabalina;PREBICTAL;50 mg cáps.x 28;Adium;$ 29980.56;50%;$ 14990.28
44477;pregabalina;PREBICTAL;75 mg cáps.x 28;Adium;$ 35363.67;50%;$ 17681.84
37351;quetiapina;QUETIAZIC;100 mg comp.x 30;Adium;$ 76811.52;50%;$ 38405.76
45449;quetiapina;QUETIAZIC;100 mg comp.x 60;Adium;$ 121624.97;50%;$ 60812.49
37352;quetiapina;QUETIAZIC;200 mg comp.x 30;Adium;$ 100301.8;50%;$ 50150.9
45452;quetiapina;QUETIAZIC;200 mg comp.x 60;Adium;$ 162312.75;50%;$ 81156.38
48928;quetiapina;QUETIAZIC XR;200mg comp.acc.prol.x 30;Adium;$ 99839.44;50%;$ 49919.72
37804;quetiapina;QUETIAZIC;25 mg comp.x 30;Adium;$ 47491.83;50%;$ 23745.92
45448;quetiapina;QUETIAZIC;25 mg comp.x 60;Adium;$ 73083.64;50%;$ 36541.82
46321;quetiapina;QUETIAZIC;300 mg comp.x 30;Adium;$ 112653.74;50%;$ 56326.87
48929;quetiapina;QUETIAZIC XR;300mg comp.acc.prol.x 30;Adium;$ 134434.17;50%;$ 67217.09
48930;quetiapina;QUETIAZIC XR;400mg comp.acc.prol.x 30;Adium;$ 202133.99;50%;$ 101067
48927;quetiapina;QUETIAZIC XR;50 mg comp.acc.prol.x 30;Adium;$ 97738.85;50%;$ 48869.43
36613;risperidona;DOZIC;0.5 mg comp.ran.x 20;Adium;$ 6654.87;50%;$ 3327.44
30965;risperidona;DOZIC;1 mg comp.ran.x 20;Adium;$ 10989.57;50%;$ 5494.79
32777;risperidona;DOZIC;1 mg comp.ran.x 60;Adium;$ 23535.32;50%;$ 11767.66
30966;risperidona;DOZIC;2 mg comp.ran.x 20;Adium;$ 21802.77;50%;$ 10901.39
32778;risperidona;DOZIC;2 mg comp.ran.x 60;Adium;$ 61220.45;50%;$ 30610.23
30967;risperidona;DOZIC;3 mg comp.ran.x 20;Adium;$ 28497.81;50%;$ 14248.91
32779;risperidona;DOZIC;3 mg comp.ran.x 60;Adium;$ 84234.54;50%;$ 42117.27
57784;rivaroxabán;XAROBAN;10 mg x 10 comp.rec.;Adium;$ 47061.48;50%;$ 23530.74
57785;rivaroxabán;XAROBAN;10 mg x 30 comp.rec.;Adium;$ 95457.14;50%;$ 47728.57
57780;rivaroxabán;XAROBAN;15 mg x 15 comp.rec.;Adium;$ 52003.54;50%;$ 26001.77
57781;rivaroxabán;XAROBAN;15 mg x 30 comp.rec.;Adium;$ 94290.07;50%;$ 47145.04
57778;rivaroxabán;XAROBAN;2.5 mg x 30 comp.rec.;Adium;$ 52734.49;50%;$ 26367.25
57779;rivaroxabán;XAROBAN;2.5 mg x 60 comp.rec;Adium;$ 100815.94;50%;$ 50407.97
57782;rivaroxabán;XAROBAN;20 mg x 15 comp.rec.;Adium;$ 52355.06;50%;$ 26177.53
57783;rivaroxabán;XAROBAN;20 mg x 30 comp.rec.;Adium;$ 98692.17;50%;$ 49346.09
56218;rivastigmina;REMIZERAL PARCHES;13.3 mg parches x 30;Adium;$ 80422.28;50%;$ 40211.14
56216;rivastigmina;REMIZERAL PARCHES;4.6 mg parches x 30;Adium;$ 73930.34;50%;$ 36965.17
56217;rivastigmina;REMIZERAL PARCHES;9.5 mg parches x 30;Adium;$ 73930.34;50%;$ 36965.17
59530;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 30;Adium;$ 83698.45;80%;$ 16739.69
59531;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 60;Adium;$ 167283.07;80%;$ 33456.61
59532;sacubitrilo+valsartán;DUPERTAN;200 mg comp.rec.x 60;Adium;$ 167283.07;80%;$ 33456.61
59529;sacubitrilo+valsartán;DUPERTAN;50 mg comp.rec.x 30;Adium;$ 79743.67;80%;$ 15948.73
41636;sertralina;ATENIX;100 mg comp.ran.x 30;Adium;$ 40250.72;50%;$ 20125.36
26875;sertralina;ATENIX;25 mg comp.ran.x 30;Adium;$ 8902.21;50%;$ 4451.11
19916;sertralina;ATENIX;50 mg comp.ran.x 30;Adium;$ 24426.21;50%;$ 12213.11
20681;sertralina;ATENIX;50 mg comp.ran.x 60;Adium;$ 40106.54;50%;$ 20053.27
13164;simvastatin;REDUSTEROL;10 mg comp.x 30;Adium;$ 21658.55;80%;$ 4331.71
14602;simvastatin;REDUSTEROL;20 mg comp.x 30;Adium;$ 27443.4;80%;$ 5488.68
15214;simvastatin;REDUSTEROL;40 mg comp.x 30;Adium;$ 24755.2;80%;$ 4951.04
22374;tamsulosina;REDUPROST;0.4 mg cáps.x 30;Adium;$ 35678.2;50%;$ 17839.1
43795;tamsulosina;REDUPROST;0.4 mg cáps.x 60;Adium;$ 59258.23;50%;$ 29629.12
59607;terbinafina;LIKANA;250 mg comp.x 14;Adium;$ 16755.51;50%;$ 8377.76
59608;terbinafina;LIKANA;250 mg comp.x 28;Adium;$ 32134.01;50%;$ 16067.01
32776;topiramato;TOPICTAL;100 mg comp.rec.x 28;Adium;$ 45011.61;80%;$ 9002.32
41288;topiramato;TOPICTAL;100 mg comp.rec.x 56;Adium;$ 85640.9;80%;$ 17128.18
32774;topiramato;TOPICTAL;25 mg comp.rec.x 28;Adium;$ 15151.42;80%;$ 3030.28
41286;topiramato;TOPICTAL;25 mg comp.rec.x 56;Adium;$ 27265.16;80%;$ 5453.03
32775;topiramato;TOPICTAL;50 mg comp.rec.x 28;Adium;$ 29090.07;80%;$ 5818.01
41287;topiramato;TOPICTAL;50 mg comp.rec.x 56;Adium;$ 56029.47;80%;$ 11205.89
57555;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 10 ml;Adium;$ 16033.89;50%;$ 8016.95
57556;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 20 ml;Adium;$ 25937.7;50%;$ 12968.85
57552;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 10;Adium;$ 7463.11;50%;$ 3731.56
57553;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 20;Adium;$ 14926.3;50%;$ 7463.15
57554;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 30;Adium;$ 20949.78;50%;$ 10474.89
52310;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 10;Adium;$ 12900.18;40%;$ 7740.11
52311;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 20;Adium;$ 24356.98;40%;$ 14614.19
52312;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 30;Adium;$ 30774.25;40%;$ 18464.55
35905;valsartán;ALPERTAN;160 mg comp.rec.x 14;Adium;$ 14021.62;60%;$ 5608.65
35906;valsartán;ALPERTAN;160 mg comp.rec.x 28;Adium;$ 30833.96;60%;$ 12333.58
50246;valsartán;ALPERTAN;320 mg comp.rec.x 28;Adium;$ 32797.03;60%;$ 13118.81
35903;valsartán;ALPERTAN;80 mg comp.rec.x 14;Adium;$ 11736.36;60%;$ 4694.54
35904;valsartán;ALPERTAN;80 mg comp.rec.x 28;Adium;$ 23880.51;60%;$ 9552.2
